learnerId,tutorId,viewCount,messageCount,requestCount,rating,lastInteractionAt,interaction_score
2QSghpegl6Tlu2niVa1evismWyL2,0W7NM9Ie82Ta9E6BWE569HKVAE42,2,4,0,,2025-05-19,0.5299320267847825
2QSghpegl6Tlu2niVa1evismWyL2,Y1xiSEf7OsQabrNMK786vsstN702,4,0,0,,2025-07-23,0.4364528003326326
2QSghpegl6Tlu2niVa1evismWyL2,FtYF3kPPyFeyVUpTPRigfsV0YDl2,5,4,0,,2025-02-01,0.20981456620383912
2QSghpegl6Tlu2niVa1evismWyL2,0l2f2PHXtNRUMCFN9TX6TIywPhx1,1,3,1,,2025-03-27,0.38230706567579426
2QSghpegl6Tlu2niVa1evismWyL2,v3njZn6muKYDNyM2HsyWgMrU8mi2,1,2,0,,2025-04-22,0.19629165058247955
2QSghpegl6Tlu2niVa1evismWyL2,DRzN2ih64uMGEuOjZprMovy5fW03,5,3,0,,2025-01-20,0.15537424716691312
2QSghpegl6Tlu2niVa1evismWyL2,lMrF4YtWI8Q0wmWhNs4r2bKK9q53,3,4,0,,2025-02-19,0.2168422298845411
3p9IDe0ZGxUknTIMim6vwt5QX2h2,PjAMGPVThoTMSJa9VXigyJuNy5y2,1,5,0,,2025-02-16,0.20973329600874857
3p9IDe0ZGxUknTIMim6vwt5QX2h2,l6r6bVZXV8UiQd1Z6Y90tbxnh4m2,3,0,0,,2025-07-13,0.2929163442535286
3p9IDe0ZGxUknTIMim6vwt5QX2h2,321QGCtd7XRzGddayieKvaHdDm23,1,1,0,,2025-08-24,0.46710483587189655
3p9IDe0ZGxUknTIMim6vwt5QX2h2,XyrOyVhu7pdsPk1WS7gubK89bjH2,5,3,0,,2025-09-26,2.471309302644719
3p9IDe0ZGxUknTIMim6vwt5QX2h2,6ZhMaFEz2JR9djnjIWdVgPRibWl2,5,0,0,,2024-12-12,0.04578909722183545
3p9IDe0ZGxUknTIMim6vwt5QX2h2,0D1aw9Bp5LPNSdnvWGFYNi1PWZE3,4,5,0,,2025-08-09,1.8451799668100874
4kI3CqHD3Pbi3d6tXZqArZ7T9403,lWf0JlxAwYNMWCFCSjovpzAOtBZ2,3,0,0,,2025-08-26,0.47760113696037443
4kI3CqHD3Pbi3d6tXZqArZ7T9403,0D1aw9Bp5LPNSdnvWGFYNi1PWZE3,5,3,0,,2025-01-18,0.1519595675243167
4kI3CqHD3Pbi3d6tXZqArZ7T9403,QJ8HvLQFoQaTr16OvNXZdZpnj7F3,5,0,0,,2025-03-06,0.11644037555595854
4kI3CqHD3Pbi3d6tXZqArZ7T9403,k2kncfGm6FfoATWUjyeqbmCCBDm2,4,2,0,,2025-05-30,0.47906075085674305
4kI3CqHD3Pbi3d6tXZqArZ7T9403,2cPC4cc64pNHZ7sIOqBv7d6qup33,1,0,0,,2025-11-09,0.3663162338696079
4kI3CqHD3Pbi3d6tXZqArZ7T9403,nll9dUGXHMYqJxqYoLQeJo2rpGL2,1,5,0,,2025-12-04,5.319688552651033
8NKD5ayXWuXyyw4194apizeT1SJ2,Y1xiSEf7OsQabrNMK786vsstN702,2,2,0,,2024-12-12,0.054946916666202536
8NKD5ayXWuXyyw4194apizeT1SJ2,R15YifvlSQRs3vxkbBQIrxwfz1M2,5,2,2,4.0,2025-05-28,1.3704571870690587
8NKD5ayXWuXyyw4194apizeT1SJ2,DRzN2ih64uMGEuOjZprMovy5fW03,1,5,0,,2024-12-07,0.095292186197313
