tutorId,role,displayName,city,subjects,grades,minPricePerHour,maxPricePerHour,available
0D1aw9Bp5LPNSdnvWGFYNi1PWZE3,tutor,belay,Adwa,Mathematics;Physics;Amharic;Tigrigna;Chemistry,KG;9-10;7-8;5-6;11-12;1-4,260.0,,True
0W7NM9Ie82Ta9E6BWE569HKVAE42,tutor,mehari,Mekelle,Mathematics;Physics;Civics;Biology;ICT;English,9-10;11-12,300.0,,True
0l2f2PHXtNRUMCFN9TX6TIywPhx1,tutor,teddy,Mekelle,Mathematics;Physics;Chemistry;Biology,KG;7-8;9-10;1-4;11-12;5-6,220.0,,True
2cPC4cc64pNHZ7sIOqBv7d6qup33,tutor,nahom,Adwa,Mathematics;Chemistry;Biology;English;ICT,7-8;11-12;9-10,200.0,,True
321QGCtd7XRzGddayieKvaHdDm23,tutor,fisha,Aksum,Mathematics;Physics;Biology,1-4;7-8;9-10;5-6,200.0,,True
4JIeujA4Dnhs4idBMx38ZtXFoQf1,tutor,kebron,Mekelle,Mathematics;Chemistry;Physics;Biology;English;Social Studies;Economics,7–8;9–10;11–12,300.0,,True
6ZhMaFEz2JR9djnjIWdVgPRibWl2,tutor,hlina,Aksum,English;Ethics;Economics;Social Studies,5-6;9-10;11-12;7-8,250.0,,True
BRSNgjsxMJbhLs5TVjfXrCDE3JB3,tutor,yossef tesfay,ad,Amharic;Biology;History;Geography,5-6;7-8;9-10,230.0,,True
DRzN2ih64uMGEuOjZprMovy5fW03,tutor,frtuna,Mekelle,Mathematics;English;Amharic;Physics;Biology;Chemistry;Economics;Ethics;Physical Education;Geography;Civics;History;ICT;Art;Social Studies,KG;5–6;7–8;9–10;11–12,250.0,,True
DsrjfIvXpFQpDBqLNpFTvNByp0u2,tutor,tsegazeab,Mekelle,Mathematics;English;Biology;History;ICT;Physics,1–4;KG;9-10;11-12;7-8;1-4,250.0,,True
ECcTDZvf9vOkwuc4xcbqBVNSFot1,tutor,lemlem,Adwa,Mathematics;English;Amharic;Physics;Tigrigna;Chemistry;Biology;Civics;History;Geography;Physical Education;ICT;Ethics;Art;Social Studies;Economics,KG;1-4;5-6;7-8;9-10;11-12,200.0,,True
FtYF3kPPyFeyVUpTPRigfsV0YDl2,tutor,tsehay,Mekelle,Mathematics;English;Tigrigna;Chemistry;Amharic;Biology;Physics;History;Geography;ICT;Art;Physical Education;Ethics;Social Studies;Civics;Economics,KG;5-6;9-10;11-12;7-8;1-4,220.0,,True
